
#cat typ et0 et1 eta0 eta1 r9 r9 first last pivot offset err stoc err

EBLowEtaBadEt20 0 20 33 0 1 -999.00 0.94 0 99999 0 0.0015 0.000119 0 0

EBHighEtaBadEt20 0 20 33 1 1.5 -999.00 0.94 0 99999 0 0.0041 0.000145 0 0

EBLowEtaGoldEt20 0 20 35 0 1 0.94 999.00 0 99999 0 0.0017 0.000145 0 0

EBHighEtaGoldEt20 0 20 40 1 1.5 0.94 999.00 0 99999 0 0.0013 0.000343 0 0

EBLowEtaBadEt33 0 33 39 0 1 -999.00 0.94 0 99999 0 0.0008 8.5e-05 0 0

EBHighEtaBadEt33 0 33 39 1 1.5 -999.00 0.94 0 99999 0 0.0018 0.000136 0 0

EBLowEtaGoldEt35 0 35 43 0 1 0.94 999.00 0 99999 0 0.0011 7.6e-05 0 0

EBLowEtaBadEt39 0 39 45 0 1 -999.00 0.94 0 99999 0 0.001 5.7e-05 0 0

EBHighEtaBadEt39 0 39 45 1 1.5 -999.00 0.94 0 99999 0 -0.0006 0.000102 0 0

EBHighEtaGoldEt40 0 40 50 1 1.5 0.94 999.00 0 99999 0 0.0016 0.000281 0 0

EBLowEtaGoldEt43 0 43 50 0 1 0.94 999.00 0 99999 0 0.0011 6.5e-05 0 0

EBLowEtaBadEt45 0 45 50 0 1 -999.00 0.94 0 99999 0 0.0006 7e-05 0 0

EBHighEtaBadEt45 0 45 50 1 1.5 -999.00 0.94 0 99999 0 -0.003 0.000135 0 0

EBHighEtaGoldEt50 0 50 100 1 1.5 0.94 999.00 0 99999 0 0.0007 0.000489 0 0

EBLowEtaGoldEt50 0 50 55 0 1 0.94 999.00 0 99999 0 0.0008 0.00016 0 0

EBLowEtaBadEt50 0 50 58 0 1 -999.00 0.94 0 99999 0 -0.0001 0.000122 0 0

EBHighEtaBadEt50 0 50 58 1 1.5 -999.00 0.94 0 99999 0 -0.004 0.000219 0 0

EBLowEtaGoldEt55 0 55 100 0 1 0.94 999.00 0 99999 0 -0.0009 0.000139 0 0

EBLowEtaBadEt58 0 58 100 0 1 -999.00 0.94 0 99999 0 -0.0018 0.000154 0 0

EBHighEtaBadEt58 0 58 100 1 1.5 -999.00 0.94 0 99999 0 -0.0049 0.000264 0 0

# Extra line to cover each possibility
EBLowEtaGoldEt0 0 0 20 0 1 0.94 999.00 0 99999 0 0 0 0 0
EBLowEtaGoldEt100 0 100 4000 0 1 0.94 999.00 0 99999 0 0 0 0 0
EBLowEtaBadEt0 0 0 20 0 1 -999.00 0.94 0 99999 0 0 0 0 0
EBLowEtaBadEt100 0 100 4000 0 1 -999.00 0.94 0 99999 0 0 0 0 0

EBHighEtaGoldEt0 0 0 20 1 1.5 0.94 999.00 0 99999 0 0 0 0 0
EBHighEtaGoldEt100 0 100 4000 1 1.5 0.94 999.00 0 99999 0 0 0 0 0
EBHighEtaBadEt0 0 0 20 1 1.5 -999.00 0.94 0 99999 0 0 0 0 0
EBHighEtaBadEt100 0 100 4000 1 1.5 -999.00 0.94 0 99999 0 0 0 0 0

EEEtaEt0 0 0 4000 1.5 4.7 -999.00 999.00 0 99999 0 0 0 0 0
